110850, 80870
147366, 86162
970, 569
1117, 670
970, 776
1117, 897
970, 842
1117, 882
970, 835
1117, 946
970, 821
1117, 923
970, 828
1117, 866
970, 461
1117, 532
970, 455
1117, 744
970, 862
1117, 1729
970, 768
1117, 841
1915, 520
2009, 465
1915, 490
2009, 701
1915, 518
2009, 655
1915, 541
2009, 550
1915, 789
2009, 1022
1915, 796
2009, 947
1915, 813
2009, 843
1915, 798
2009, 877
1915, 728
2009, 774
1915, 803
2009, 848
3847, 999
4018, 973
3847, 931
4018, 1022
3847, 1001
4018, 1063
3847, 933
4018, 991
3847, 953
4018, 1011
3847, 940
4018, 1025
3847, 1009
4018, 1010
3847, 973
4018, 1040
3847, 951
4018, 1023
3847, 997
4018, 1010
7669, 1790
8044, 2048
7669, 1828
8044, 1941
7669, 2506
8044, 2053
7669, 1883
8044, 1990
7669, 1770
8044, 1958
7669, 1983
8044, 2198
7669, 1726
8044, 1932
7669, 1894
8044, 2024
7669, 1831
8044, 2052
7669, 1809
8044, 2020
15364, 3799
15868, 4177
15364, 3677
15868, 3905
15364, 4283
15868, 4465
15364, 3828
15868, 4034
15364, 3993
15868, 4314
15364, 3877
15868, 4100
15364, 4764
15868, 4196
15364, 3736
15868, 3978
15364, 3707
15868, 3909
15364, 4747
15868, 4234
30713, 9461
31569, 9943
30713, 7741
31569, 8922
30713, 33634
31569, 12823
30713, 12714
31569, 12621
30713, 7640
31569, 8987
30713, 7993
31569, 8317
30713, 9899
31569, 8530
30713, 12106
31569, 13555
30713, 8720
31569, 10804
30713, 7586
31569, 10132
61362, 16458
63060, 18175
61362, 15614
63060, 16921
61362, 21275
63060, 26972
61362, 15949
63060, 60335
61362, 15641
63060, 16953
61362, 15885
63060, 17098
61362, 15775
63060, 17323
61362, 37725
63060, 17139
61362, 15593
63060, 17116
61362, 15511
63060, 17024
122850, 32301
122659, 37037
122850, 33383
122659, 36582
122850, 32206
122659, 105715
122850, 32537
122659, 36875
122850, 44976
122659, 45300
122850, 32090
122659, 36647
122850, 33324
122659, 47190
122850, 32004
122659, 36765
122850, 32715
122659, 36690
122850, 32634
122659, 36856
245738, 127070
246003, 91977
245738, 68746
246003, 95845
245738, 66978
246003, 103162
245738, 81922
246003, 94900
245738, 68386
246003, 93139
245738, 67880
246003, 86791
245738, 67350
246003, 169558
245738, 67424
246003, 87028
245738, 88026
246003, 88423
245738, 67420
246003, 165296
491250, 158896
499114, 183046
491250, 157158
499114, 310034
491250, 144899
499114, 262908
491250, 147489
499114, 315449
491250, 164005
499114, 299512
491250, 151134
499114, 292155
491250, 257453
499114, 208364
491250, 262541
499114, 169705
491250, 159909
499114, 284994
491250, 163805
499114, 294606
